code,name,full_name
110000,北京市,北京市
110101,东城区,北京市东城区
110102,西城区,北京市西城区
110105,朝阳区,北京市朝阳区
110106,丰台区,北京市丰台区
110107,石景山区,北京市石景山区
110108,海淀区,北京市海淀区
110109,门头沟区,北京市门头沟区
110111,房山区,北京市房山区
110112,通州区,北京市通州区
110113,顺义区,北京市顺义区
110114,昌平区,北京市昌平区
110115,大兴区,北京市大兴区
110116,怀柔区,北京市怀柔区
110117,平谷区,北京市平谷区
110118,密云区,北京市密云区
110119,延庆区,北京市延庆区
120000,天津市,天津市
120101,和平区,天津市和平区
120102,河东区,天津市河东区
120103,河西区,天津市河西区
120104,南开区,天津市南开区
120105,河北区,天津市河北区
120106,红桥区,天津市红桥区
120110,东丽区,天津市东丽区
120111,西青区,天津市西青区
120112,津南区,天津市津南区
120113,北辰区,天津市北辰区
120114,武清区,天津市武清区
120115,宝坻区,天津市宝坻区
120116,滨海新区,天津市滨海新区
120117,宁河区,天津市宁河区
120118,静海区,天津市静海区
120119,蓟州区,天津市蓟州区
130000,河北省,河北省
130100,石家庄市,河北省石家庄市
130102,长安区,河北省石家庄市长安区
130104,桥西区,河北省石家庄市桥西区
130105,新华区,河北省石家庄市新华区
130107,井陉矿区,河北省石家庄市井陉矿区
130108,裕华区,河北省石家庄市裕华区
130109,藁城区,河北省石家庄市藁城区
130110,鹿泉区,河北省石家庄市鹿泉区
130111,栾城区,河北省石家庄市栾城区
130121,井陉县,河北省石家庄市井陉县
130123,正定县,河北省石家庄市正定县
130125,行唐县,河北省石家庄市行唐县
130126,灵寿县,河北省石家庄市灵寿县
130127,高邑县,河北省石家庄市高邑县
130128,深泽县,河北省石家庄市深泽县
130129,赞皇县,河北省石家庄市赞皇县
130130,无极县,河北省石家庄市无极县
130131,平山县,河北省石家庄市平山县
130132,元氏县,河北省石家庄市元氏县
130133,赵县,河北省石家庄市赵县
130181,辛集市,河北省石家庄市辛集市
130183,晋州市,河北省石家庄市晋州市
130184,新乐市,河北省石家庄市新乐市
130200,唐山市,河北省唐山市
130202,路南区,河北省唐山市路南区
130203,路北区,河北省唐山市路北区
130204,古冶区,河北省唐山市古冶区
130205,开平区,河北省唐山市开平区
130207,丰南区,河北省唐山市丰南区
130208,丰润区,河北省唐山市丰润区
130209,曹妃甸区,河北省唐山市曹妃甸区
130224,滦南县,河北省唐山市滦南县
130225,乐亭县,河北省唐山市乐亭县
130227,迁西县,河北省唐山市迁西县
130229,玉田县,河北省唐山市玉田县
130281,遵化市,河北省唐山市遵化市
130283,迁安市,河北省唐山市迁安市
130284,滦州市,河北省唐山市滦州市
130300,秦皇岛市,河北省秦皇岛市
130302,海港区,河北省秦皇岛市海港区
130303,山海关区,河北省秦皇岛市山海关区
130304,北戴河区,河北省秦皇岛市北戴河区
130306,抚宁区,河北省秦皇岛市抚宁区
130321,青龙满族自治县,河北省秦皇岛市青龙满族自治县
130322,昌黎县,河北省秦皇岛市昌黎县
130324,卢龙县,河北省秦皇岛市卢龙县
130400,邯郸市,河北省邯郸市
130402,邯山区,河北省邯郸市邯山区
130403,丛台区,河北省邯郸市丛台区
130404,复兴区,河北省邯郸市复兴区
130406,峰峰矿区,河北省邯郸市峰峰矿区
130407,肥乡区,河北省邯郸市肥乡区
130408,永年区,河北省邯郸市永年区
130423,临漳县,河北省邯郸市临漳县
130424,成安县,河北省邯郸市成安县
130425,大名县,河北省邯郸市大名县
130426,涉县,河北省邯郸市涉县
130427,磁县,河北省邯郸市磁县
130430,邱县,河北省邯郸市邱县
130431,鸡泽县,河北省邯郸市鸡泽县
130432,广平县,河北省邯郸市广平县
130433,馆陶县,河北省邯郸市馆陶县
130434,魏县,河北省邯郸市魏县
130435,曲周县,河北省邯郸市曲周县
130481,武安市,河北省邯郸市武安市
130500,邢台市,河北省邢台市
130502,桥东区,河北省邢台市桥东区
130503,桥西区,河北省邢台市桥西区
130521,邢台县,河北省邢台市邢台县
130522,临城县,河北省邢台市临城县
130523,内丘县,河北省邢台市内丘县
